Bezrobotni
2 476,1
2 525,8
2 531,7
2 487,9
2 445,4
2 437,4
2 477,6
2 496,2
2 528,8
2 547,7
2 613,1
2 702,6
2 835,6
2 876,9
2 898,7
2 878,0
2 841,1
2 849,2
2 871,5
2 892,6
2 920,4
2 944,3
3 022,4
3 115,1
3 253,3
3 277,9
3 259,9
3 203,6
3 064,6
3 090,9
3 105,3
3 105,6
3 108,1
3 108,1
3 150,8
3 217,0
3 320,6
3 344,2
3 321,0
3 246,1
3 159,6
3 134,6
3 123,0
3 099,1
3 073,3
3 058,2
3 096,9
3 175,7
3 293,2
3 294,5
3 265,8
3 173,8
3 092,5
3 071,2
3 042,4
3 005,7
2 970,9
2 938,2
2 942,6
2 999,6
3 094,9
3 094,5
3 052,6
2 957,8
2 867,3
2 827,4
2 809,0
2 783,3
2 760,1
2 712,1
2 722,8
2 773,0
2 866,7
2 865,9
2 822,0
2 703,6
2 583,0
2 487,6
2 443,4
2 411,6
2 363,6
2 301,8
2 287,3
2 309,4
2 365,8
2 331,1
2 232,5
2 103,1
1 985,1
1 895,1
1 856,1
1 821,9
1 777,8
1 720,9
1 719,4
1 746,6
1 813,4
1 778,5
1 702,2
1 605,7
1 525,6
1 455,3
1 422,9
1 404,4
1 376,6
1 352,3
1 398,5
1 473,8
1 634,4
1 718,8
1 758,8
1 719,9
1 683,4
1 658,7
1 676,1
1 689,0
1 715,9
1 744,3
1 811,1
1 892,7
2 052,5
2 101,5
2 076,7
1 973,8
1 907,9
1 843,9
1 812,8
1 800,2
1 812,6
1 818,6
1 858,3
1 954,7
2 105,0
2 150,2
2 133,9
2 043,5
1 962,6
1 883,3
1 863,2
1 855,3
1 861,7
1 867,6
1 914,9
1 982,7
2 121,5
2 168,2
2 141,9
2 072,6
2 013,9
1 964,4
1 953,2
1 964,7
1 979,0
1 994,9
2 058,1
2 136,8
2 295,7
2 336,7
2 314,5
2 255,7
2 176,3
2 109,1
2 093,1
2 083,2
2 083,1
2 075,2
2 116,0
2 157,9
2 260,7
2 255,9
2 182,2
2 079,0
1 986,7
1 912,5
1 878,5
1 853,2
1 821,9
1 784,8
1 799,8
1 825,2
1 918,6
1 918,7
1 860,6
1 782,2
1 702,1
1 622,3
1 585,7
1 563,5
1 539,4
1 516,9
1 530,6
1 563,3
1 647,5
1 652,7
1 600,5
1 521,8
1 456,9
1 392,5
1 361,5
1 346,9
1 324,1
1 308,0
1 313,6
1 335,2
1397,1
1383,4
1324,2
1252,7
1202,1
1151,6
1140,0
1136,1
1117,1
1069,5
1067,7
1081,7
1133,7
1126,7
1092,2
1042,5
1002,2
967,9
961,8
958,6
947,4
937,3
950,5
968,9
1023,1
1016,7
984,7
938,3
906,0
877,1
868,4
865,5
851,2
840,5
849,6
866,4
922,2
919,9
909,4
965,8
1 011,7
1 026,5
1 029,5
1 028,0
1 023,7
1 018,4
1025,7
1046,4
